RESULT_COUNT: 5071,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1,,,,,
TICKER,FIGI_TICKER,FIGI,COMPOSITE_FIGI,COMPOSITE_FIGI_TICKER,SECURITY_NAME,MARKET_SECTOR,SECURITY_TYPE,STOCK_EXCHANGE,LAST_CRSP_ADJ_DATE
ACV,ACV:US,BBG008HMBD22,BBG008HMBD22,ACV:US,ALLIANZGI DIVERSIFIED INCOME,Equity,Closed-End Fund,NYSE,2016-10-11
ACW,ACW:UN,BBG000QF2VN1,BBG000QF2TP4,ACW:US,ACCURIDE CORP,Equity,Common Stock,NYSE,2010-11-19
ACWF,ACWF:US,BBG008LNZHV8,BBG008LNZHV8,ACWF:US,ISHARES EDGE MSCI MULTIFACTOR GLOBAL ETF,Equity,ETP,NYSE,2016-06-22
ACWV,ACWV:US,BBG0025X38X0,BBG0025X38X0,ACWV:US,ISHARES EDGE MSCI MIN VOL GLOBAL ETF,Equity,ETP,NYSE,2016-06-22
ACY,ACY:US,BBG000B9WP24,BBG000B9WP24,ACY:US,AEROCENTURY CORP,Equity,Common Stock,NYSE,
ADC,ADC:US,BBG000BC9DK0,BBG000BC9DK0,ADC:US,AGREE REALTY CORP,Equity,REIT,NYSE,2017-06-28
ADGE,ADGE:UN,BBG000B9WLK3,BBG000B9WLK3,ADGE:US,AMERICAN DG ENERGY INC,Equity,Common Stock,NYSE,
ADK,ADK:US,BBG000PYP3D9,BBG000PYP3D9,ADK:US,ADCARE HEALTH SYSTEMS INC,Equity,Common Stock,NYSE,2015-10-13
ADM,ADM:US,BBG000BB6WG8,BBG000BB6WG8,ADM:US,ARCHER-DANIELS-MIDLAND CO,Equity,Common Stock,NYSE,2017-08-15
ADNT,ADNT:US,BBG009PN0C87,BBG009PN0C87,ADNT:US,ADIENT PLC,Equity,Common Stock,NYSE,2017-07-24
ADPT,ADPT:UN,BBG006JS1PC4,BBG006JS1NR3,ADPTQ:US,ADEPTUS HEALTH INC-CLASS A,Equity,Common Stock,NYSE,
ADS,ADS:US,BBG000BFNR17,BBG000BFNR17,ADS:US,ALLIANCE DATA SYSTEMS CORP,Equity,Common Stock,NYSE,2017-08-10
ADSW,ADSW:US,BBG003FJ1CY0,BBG003FJ1CY0,ADSW:US,ADVANCED DISPOSAL SERVICES I,Equity,Common Stock,NYSE,
ADT,ADT:UN,BBG003CFK815,BBG003641015,ADT:US,ADT CORP/THE,Equity,Common Stock,NYSE,2016-01-25
ADX,ADX:US,BBG000BB8MR6,BBG000BB8MR6,ADX:US,ADAMS DIVERSIFIED EQUITY FUN,Equity,Closed-End Fund,NYSE,2017-08-09
ADZ,ADZ:US,BBG000VGZ8T2,BBG000VGZ8T2,ADZ:US,DB AGRICULTURE SHORT ETN,Equity,ETP,NYSE,
AE,AE:US,BBG000BB92C5,BBG000BB92C5,AE:US,"ADAMS RESOURCES & ENERGY, INC. COMMON STOCK",Equity,Common Stock,NYSE,2017-09-01
AEB,AEGON F PERP 1:NEW YORK,BBG000008JX2,,,AEGON NV,Pfd,PUBLIC,NYSE,2015-05-28
AEC,AEC:UN,BBG000B9WJC7,BBG000B9WJC7,AEC:US,ASSOCIATED ESTATES REALTY CORPORATION COMMON STOCK,,,NYSE,2015-04-13
AED,AEGON 6.5 PERP:NEW YORK,BBG000008JW3,,,AEGON NV,Pfd,PUBLIC,NYSE,2015-02-25
AEE,AEE:US,BBG000B9X8C0,BBG000B9X8C0,AEE:US,AMEREN CORPORATION,Equity,Common Stock,NYSE,2017-09-12
AEG,AEG:US,BBG000CKQSN6,BBG000CKQSN6,AEG:US,AEGON N.V.-NY REG SHR,Equity,NY Reg Shrs,NYSE,2017-08-17
AEH,AEGON 6.375 PERP:NEW YORK,BBG0000089F4,,,AEGON NV,Pfd,PUBLIC,NYSE,2015-02-25
AEK,AEGON 8 02/15/42:NEW YORK,BBG002FY3WY3,,,AEGON NV,Pfd,PUBLIC,NYSE,2015-04-29
AEL,AEL:US,BBG000BB6H99,BBG000BB6H99,AEL:US,AMERICAN EQUITY INVT LIFE HL,Equity,Common Stock,NYSE,2016-12-01
AEM,AEM:US,BBG000DLVDK3,BBG000DLVDK3,AEM:US,AGNICO EAGLE MINES LTD,Equity,Common Stock,NYSE,2017-08-30
AEO,AEO:US,BBG000BGXZB5,BBG000BGXZB5,AEO:US,AMERICAN EAGLE OUTFITTERS,Equity,Common Stock,NYSE,2017-07-05
AEP,AEP:US,BBG000BB9KF2,BBG000BB9KF2,AEP:US,AMERICAN ELECTRIC POWER,Equity,Common Stock,NYSE,2017-08-08
AER,AER:US,BBG000Q9FZL4,BBG000Q9FZL4,AER:US,AERCAP HOLDINGS NV,Equity,Common Stock,NYSE,
AES,AES:US,BBG000C23KJ3,BBG000C23KJ3,AES:US,AES CORP,Equity,Common Stock,NYSE,2017-08-01
AET,AET:US,BBG000FJLFX8,BBG000FJLFX8,AET:US,AETNA INC,Equity,Common Stock,NYSE,2017-07-11
AEUA,APC 7.5 06/07/18:NEW YORK,BBG009CH80Z2,,,ANADARKO PETROLEUM CORP,Pfd,PUBLIC,NYSE,
AF,AF:US,BBG000BF7T75,BBG000BF7T75,AF:US,ASTORIA FINANCIAL CORP,Equity,Common Stock,NYSE,2017-08-03
AFA,AFG 5.75 08/25/42:NEW YORK,BBG003B8M8N6,,,AMERICAN FINANCIAL GROUP,Pfd,PUBLIC,NYSE,2015-05-07
AFB,AFB:US,BBG000DTM676,BBG000DTM676,AFB:US,ALLIANCE NATIONAL MUNI INC,Equity,Closed-End Fund,NYSE,2016-09-07
AFC,ARCC 6.875 04/15/47:NEW YORK,BBG000003SZ5,,,ALLIED CAPITAL CORP,Pfd,PUBLIC,NYSE,2016-03-30
AFCO,AFCO:UN,BBG009HXXX73,BBG009HXXX73,AFCO:US,AMERICAN FARMLAND CO,Equity,REIT,NYSE,2016-12-28
AFG,AFG:US,BBG000DPKKK0,BBG000DPKKK0,AFG:US,AMERICAN FINANCIAL GROUP INC,Equity,Common Stock,NYSE,2017-05-11
AFGE,AFG 6.25 09/30/54:NEW YORK,BBG0074FQ3Z3,,,AMERICAN FINANCIAL GROUP,Pfd,PUBLIC,NYSE,2015-03-11
AFGH,AFG 6 11/15/55:NEW YORK,BBG00BDQ5L74,,,AMERICAN FINANCIAL GROUP,Pfd,PUBLIC,NYSE,
AFI,AFI:US,BBG0085ZZXW3,BBG0085ZZXW3,AFI:US,ARMSTRONG FLOORING INC,Equity,Common Stock,NYSE,
AFK,AFK:US,BBG000H0B9J8,BBG000H0B9J8,AFK:US,VANECK VECTORS AFRICA INDEX,Equity,ETP,NYSE,2016-12-19
AFL,AFL:US,BBG000BBBNC6,BBG000BBBNC6,AFL:US,AFLAC INC,Equity,Common Stock,NYSE,2017-08-21
AFM,AFM:UN,BBG000BBN0Y9,BBG000BBN0Y9,AFM:US,"AFFILIATED MANAGERS GROUP, INC. 5.250% SENIOR NOTES DUE 2022",,,NYSE,2015-03-30
AFSD,AFL 5.5 09/15/52:NEW YORK,BBG003DD3J96,,,AFLAC INC,Pfd,PUBLIC,NYSE,2015-02-25
AFSS,AFSI 7.25 06/15/55:NEW YORK,BBG009DFBM01,,,AMTRUST FINANCIAL SERVIC,Pfd,PUBLIC,NYSE,
AFST,AFSI 7.5 09/15/55:NEW YORK,BBG009ZC9G82,,,AMTRUST FINANCIAL SERVIC,Pfd,PUBLIC,NYSE,
AFT,AFT:US,BBG00174L007,BBG00174L007,AFT:US,APOLLO SENIOR FLOATING RATE,Equity,Closed-End Fund,NYSE,2016-12-15
AFTY,AFTY:US,BBG0087HJHZ1,BBG0087HJHZ1,AFTY:US,CSOP FTSE CHINA A50 ETF,Equity,ETP,NYSE,2016-12-16
AFW,AFG 6.375 06/12/42:NEW YORK,BBG00337TW48,,,AMERICAN FINANCIAL GROUP,Pfd,PUBLIC,NYSE,2015-05-22
AG,AG:US,BBG000CH7WB8,BBG000CH7WB8,AG:US,FIRST MAJESTIC SILVER CORP,Equity,Common Stock,NYSE,
AGA,AGA:US,BBG000BG1009,BBG000BG1009,AGA:US,DB AGRICULTURE DOUBLE SHORT,Equity,ETP,NYSE,
AGC,AGC:US,BBG000R5NDT3,BBG000R5NDT3,AGC:US,ADVENT CLAYMORE CONVERTIBLE,Equity,Closed-End Fund,NYSE,2016-09-13
AGCO,AGCO:US,BBG000DCCZW2,BBG000DCCZW2,AGCO:US,AGCO CORP,Equity,Common Stock,NYSE,2017-08-11
AGD,AGD:US,BBG000PMSMG7,BBG000PMSMG7,AGD:US,ALPINE GLOBAL DYNAMIC DIVIDE,Equity,Closed-End Fund,NYSE,2016-11-18
AGF,AGF:US,BBG000VGZ3C1,BBG000VGZ3C1,AGF:US,DB AGRICULTURE LONG ETN,Equity,ETP,NYSE,
AGG,AGG:US,BBG000Q123R0,BBG000Q123R0,AGG:US,ISHARES CORE U.S. AGGREGATE,Equity,ETP,NYSE,2017-08-01
AGGE,AGGE:US,BBG00CVW3Q70,BBG00CVW3Q70,AGGE:US,IQ ENHANCED CORE BOND U.S. ETF,Equity,ETP,NYSE,2017-09-11
AGGP,AGGP:US,BBG00CVW3NH6,BBG00CVW3NH6,AGGP:US,IQ ENHANCED CORE PLUS BOND U.S. ETF,Equity,ETP,NYSE,2017-09-11
AGGY,AGGY:US,BBG009KCY2B7,BBG009KCY2B7,AGGY:US,WISDOMTREE BARCLAYS YIELD ENHANCED U.S. AGGREGATE BOND FUND,Equity,ETP,NYSE,2017-08-21
AGI,AGI:US,BBG009HT6BL4,BBG009HT6BL4,AGI:US,ALAMOS GOLD INC-CLASS A,Equity,Common Stock,NYSE,2017-04-11
AGLS,AGLS:UN,BBG000BBNW42,BBG000BBNW42,AGLS:US,ACCUVEST GLOBAL LONG SHORT ETF,,,NYSE,2011-12-28
AGM,AGM:US,BBG000G8ZKY4,BBG000G8ZKY4,AGM:US,FEDERAL AGRIC MTG CORP-CL C,Equity,Common Stock,NYSE,2017-09-14
AGM.A,AGM/A:US,BBG000G8Y1Z6,BBG000G8Y1Z6,AGM/A:US,FEDERAL AGRIC MTG CORP-CL A,Equity,Common Stock,NYSE,2013-11-13
AGN,AGN:US,BBG000FH8PX5,BBG000FH8PX5,AGN:US,ALLERGAN PLC,Equity,Common Stock,NYSE,2017-08-16
AGO,AGO:US,BBG000CQB185,BBG000CQB185,AGO:US,ASSURED GUARANTY LTD,Equity,Common Stock,NYSE,2017-08-14
AGOL,AGOL:UN,BBG001D9S5Y4,BBG001D9S5Y4,AGOL:US,ETFS ASIAN GOLD TRUST,,,NYSE,
AGQ,AGQ:US,BBG000F7KQG0,BBG000F7KQG0,AGQ:US,PROSHARES ULTRA SILVER,Equity,ETP,NYSE,2014-01-24
AGR,AGR:US,BBG00B8NWRF5,BBG00B8NWRF5,AGR:US,AVANGRID INC,Equity,Common Stock,NYSE,2017-09-07
AGRO,AGRO:US,BBG001DCNPK3,BBG001DCNPK3,AGRO:US,ADECOAGRO SA,Equity,Common Stock,NYSE,
AGU,AGU:US,BBG000BLM0V1,BBG000BLM0V1,AGU:US,AGRIUM INC,Equity,Common Stock,NYSE,2017-06-28
AGX,AGX:US,BBG000K4J3T0,BBG000K4J3T0,AGX:US,ARGAN INC,Equity,Common Stock,NYSE,2016-10-14
AGZ,AGZ:US,BBG000G03TV0,BBG000G03TV0,AGZ:US,ISHARES AGENCY BOND ETF,Equity,ETP,NYSE,2017-08-01
AHC,AHC:US,BBG000TGPLG1,BBG000TGPLG1,AHC:US,A H BELO CORP-A,Equity,Common Stock,NYSE,2017-08-09
AHH,AHH:US,BBG004CYX1M0,BBG004CYX1M0,AHH:US,ARMADA HOFFLER PROPERTIES IN,Equity,REIT,NYSE,2017-06-26
AHL,AHL:US,BBG000BFVKZ6,BBG000BFVKZ6,AHL:US,ASPEN INSURANCE HOLDINGS LTD,Equity,Common Stock,NYSE,2017-08-10
AHP,AHP:US,BBG004PW84G9,BBG004PW84G9,AHP:US,ASHFORD HOSPITALITY PRIME IN,Equity,REIT,NYSE,2017-06-28
AHT,AHT:US,BBG000PRZVD1,BBG000PRZVD1,AHT:US,ASHFORD HOSPITALITY TRUST,Equity,REIT,NYSE,2017-06-28
AI,AI:US,BBG000BD1373,BBG000BD1373,AI:US,ARLINGTON ASSET INVESTMENT-A,Equity,Common Stock,NYSE,2017-06-28
AIB,AINV 6.625 10/15/42:NEW YORK,BBG003G0MN82,,,APOLLO INVESTMENT CORP,Pfd,PUBLIC,NYSE,2015-03-30
AIC,AI 6.75 03/15/25:NEW YORK,BBG0088NM749,,,ARLINGTON ASSET INVEST,Pfd,PUBLIC,NYSE,2015-08-27
AIF,AIF:US,BBG003NQ4B47,BBG003NQ4B47,AIF:US,APOLLO TACTICAL INCOME FUND,Equity,Closed-End Fund,NYSE,2016-12-15
AIG,AIG:US,BBG000BBDZG3,BBG000BBDZG3,AIG:US,AMERICAN INTERNATIONAL GROUP,Equity,Common Stock,NYSE,2017-09-14
AIII,AIII:US,BBG000BJMG14,BBG000BJMG14,AIII:US,ACRE REALTY INVESTORS INC,Equity,Common Stock,NYSE,2008-07-08
AIN,AIN:US,BBG000BRWWH3,BBG000BRWWH3,AIN:US,ALBANY INTL CORP-CL A,Equity,Common Stock,NYSE,2017-09-08
AINC,AINC:US,BBG0069GSFN2,BBG0069GSFN2,AINC:US,ASHFORD INC,Equity,Common Stock,NYSE,
AIR,AIR:US,BBG000BBGQF1,BBG000BBGQF1,AIR:US,AAR CORP,Equity,Common Stock,NYSE,2017-07-19
AIRI,AIRI:US,BBG000C8XXR0,BBG000C8XXR0,AIRI:US,AIR INDUSTRIES GROUP,Equity,Common Stock,NYSE,2015-07-30
AIT,AIT:US,BBG000BBHHP9,BBG000BBHHP9,AIT:US,APPLIED INDUSTRIAL TECH INC,Equity,Common Stock,NYSE,2017-08-11
AIV,AIV:US,BBG000DD3510,BBG000DD3510,AIV:US,APARTMENT INVT & MGMT CO -A,Equity,REIT,NYSE,2017-08-16
AIW,AI 6.625 05/01/23:NEW YORK,BBG004H8DQY6,,,ARLINGTON ASSET INVEST,Pfd,PUBLIC,NYSE,2015-04-13
AIY,AINV 6.875 07/15/43:NEW YORK,BBG004P64PB8,,,APOLLO INVESTMENT CORP,Pfd,PUBLIC,NYSE,2015-03-30
AIZ,AIZ:US,BBG000BZX1N5,BBG000BZX1N5,AIZ:US,ASSURANT INC,Equity,Common Stock,NYSE,2017-08-24
AJG,AJG:US,BBG000BBHXQ3,BBG000BBHXQ3,AJG:US,ARTHUR J GALLAGHER & CO,Equity,Common Stock,NYSE,2017-08-30
